"Time","processor.rule.act.timing.mean"
1638417600000,4090.4172984037054
1638417900000,1463.568446356876
1638418200000,3093.6461615563326
1638418500000,4621.059758450413
1638418800000,3596.166526639237
1638419100000,3715.276301262426
1638419400000,4594.667506890255
1638419700000,3561.2552165829156
1638420000000,1537.0193915625655
1638420300000,2190.063891765056
1638420600000,1195.5659963334458
1638420900000,3440.0859213050426
1638421200000,1398.0085668710672
1638421500000,1985.4315228703651
1638421800000,2659.973707471997
1638422100000,3962.234342580561
1638422400000,2910.422906190191
1638422700000,2555.3111235710776
1638423000000,2746.061637504186
1638423300000,2050.514439775252
1638423600000,2974.36321348724
1638423900000,1600.0913715512431
1638424200000,2218.684254051984
1638424500000,4877.1965411916735
1638424800000,1786.1203690360871
1638425100000,2901.6102993969157
1638425400000,2253.9176854300135
1638425700000,2409.054914997215
1638426000000,2167.20989191747
1638426300000,2593.554768116303
1638426600000,2518.449141410145
1638426900000,5059.933204336921
1638427200000,2850.2922191916177
1638427500000,2325.242510604622
1638427800000,1749.9649994979704
1638428100000,2628.155119809393
1638428400000,3428.2815161956073
1638428700000,2630.460877638372
1638429000000,3198.2978716703924
1638429300000,2345.508583894049
1638429600000,2173.8717238296604
1638429900000,2669.842831210912
1638430200000,3116.109738783064
1638430500000,2184.7496847369457
1638430800000,2735.4612712948447
1638431100000,1609.5423386428006
1638431400000,2124.459418517749
1638431700000,2421.8168393545834
1638432000000,4419.601416591216
1638432300000,2002.9510568295293
1638432600000,0
1638432900000,11638.62079829767
1638433200000,2426.1007618210033
1638433500000,3389.9094588298058
1638433800000,3237.03514536883
1638434100000,2017.3379842928905
1638434400000,2610.16122894823
1638434700000,2707.3836284079234
1638435000000,2179.5106343209586
1638435300000,2932.0047205974274
1638435600000,2352.126812948332
1638435900000,3118.7275908153088
1638436200000,2791.953560283505
1638436500000,2543.306480773922
1638436800000,2930.9740358541776
1638437100000,2831.3421103062005
1638437400000,2135.340491014724
1638437700000,3147.0549211047105
1638438000000,2412.602483418353
1638438300000,1911.431598988837
1638438600000,2213.5839223364965
1638438900000,2304.6648141742953
1638439200000,2168.8371832199077
1638439500000,2561.1270968517215
1638439800000,4085.794205725182
1638440100000,1341.3069945741183
1638440400000,3595.980318435971
1638440700000,2426.580272123894
1638441000000,3035.043092950834
1638441300000,2836.0523875779095
1638441600000,3274.4936230330295
1638441900000,2483.079964036157
1638442200000,2418.8005760908018
1638442500000,1513.6292793484306
1638442800000,2887.031209456175
1638443100000,4256.064504458903
1638443400000,2850.572449350288
1638443700000,3395.711124961207
1638444000000,3468.223086574018
1638444300000,3131.5692191245516
1638444600000,3534.3083283302594
1638444900000,2160.8605614866074
1638445200000,2518.1143926930517
1638445500000,2889.2072068115713
1638445800000,2770.053494751733
1638446100000,1970.833389111566
1638446400000,2952.787728226534
1638446700000,2599.1633628134878
1638447000000,2495.039661754414
1638447300000,2097.0571220078773
1638447600000,2548.6782561178143
1638447900000,2588.4311102672386
1638448200000,2567.90381524669
1638448500000,3281.744085314743
1638448800000,4361.6700447709345
1638449100000,2433.677839949657
1638449400000,2846.8276512138264
1638449700000,2187.8073407458114
1638450000000,1530.8903175838877
1638450300000,2483.1651584042797
1638450600000,2908.803812069285
1638450900000,2314.7239470414206
1638451200000,2396.58003549928
1638451500000,2500.658155957168
1638451800000,2963.162933824237
1638452100000,2852.368166574605
1638452400000,2699.1227524120836
1638452700000,1908.3008466515669
1638453000000,2936.3181174128113
1638453300000,1275.1287811794155
1638453600000,3107.056202650542
1638453900000,3116.447582816863
1638454200000,2682.729765431214
1638454500000,2875.5119835635924
1638454800000,2747.522065837392
1638455100000,2149.911789918394
1638455400000,3609.3755863134757
1638455700000,3589.8298386535944
1638456000000,2619.9337055796905
1638456300000,2995.9420878935425
1638456600000,2448.4626906490626
1638456900000,2741.874402468885
1638457200000,2754.115235346295
1638457500000,2114.8817583205932
1638457800000,2974.07101678786
1638458100000,2103.179102916232
1638458400000,1842.1921523525264
1638458700000,2693.197205969881
1638459000000,2678.04914687879
1638459300000,4197.156623187897
1638459600000,2779.5165957536565
1638459900000,2411.3334634055586
1638460200000,2389.585300388405
1638460500000,2589.096635225749
1638460800000,2709.71537894856
1638461100000,2847.674239742331
1638461400000,2063.0772934649913
1638461700000,2214.0400502277685
1638462000000,2447.2955589984695
