Time,tecken.upload_archive.mean
1633154400000,15196.425677728257
1633158000000,
1633161600000,22550.874620996183
1633165200000,0.22603466641157866
1633168800000,49049.282951707646
1633172400000,44805.4298180295
1633176000000,48326.376362802774
1633179600000,28633.671584497886
1633183200000,50557.17238700405
1633186800000,
1633190400000,
1633194000000,
1633197600000,
1633201200000,
1633204800000,
1633208400000,66959.08897499612
1633212000000,42396.65080725686
1633215600000,36113.234985907184
1633219200000,11984.274380010902
1633222800000,
1633226400000,
1633230000000,
1633233600000,
1633237200000,
1633240800000,0.17651049711275846
1633244400000,0.23776232652987042
1633248000000,26874.287165002897
1633251600000,
1633255200000,50491.14790089516
1633258800000,48395.66751292717
1633262400000,28671.506853313007
1633266000000,83130.47029649897
1633269600000,33482.780863500506
1633273200000,
1633276800000,
1633280400000,97397.06527997623
1633284000000,39911.16284617387
1633287600000,15535.455961106993
1633291200000,49274.82891218038
1633294800000,23278.936278841866
1633298400000,19631.39463943662
1633302000000,21907.393148192205
1633305600000,33739.866746996995
1633309200000,
1633312800000,
1633316400000,
1633320000000,
1633323600000,22299.838968989206
1633327200000,
1633330800000,420.82035198109224
1633334400000,
1633338000000,
1633341600000,54976.68418827319
1633345200000,34918.521434662616
1633348800000,36007.82996284222
1633352400000,37615.220771193286
1633356000000,49687.62224599628
1633359600000,30859.684032888115
1633363200000,55940.364428005916
1633366800000,59756.503277875025
1633370400000,29769.992233333345
1633374000000,51658.491294121115
1633377600000,34884.27214959533
1633381200000,47227.875497026136
1633384800000,74986.36953914307
1633388400000,41173.31674897811
1633392000000,18882.63893550038
1633395600000,
1633399200000,0.24662666692165658
1633402800000,
1633406400000,45033.973935287744
1633410000000,29344.374178770522
1633413600000,10040.640143802739
1633417200000,11395.530544799112
1633420800000,31687.883461330784
1633424400000,
1633428000000,46882.65039762877
1633431600000,36706.220268420446
1633435200000,41175.36518863661
1633438800000,39646.40461237979
1633442400000,4909.11863099609
1633446000000,61420.277762196936
1633449600000,52862.23286959131
1633453200000,31810.28201811954
1633456800000,39348.79406052377
1633460400000,33809.20321665382
1633464000000,33659.463849000895
1633467600000,53968.86552800182
1633471200000,47788.20125218982
1633474800000,22977.778304857824
1633478400000,27575.53268141823
1633482000000,
1633485600000,
1633489200000,0.21957483598574376
1633492800000,55654.0304895309
1633496400000,32779.147545821615
1633500000000,32218.21876933488
1633503600000,20174.148282718048
1633507200000,47998.865901492536
1633510800000,25704.540642007487
1633514400000,46064.68207373564
1633518000000,29903.443569278654
1633521600000,52490.88917186964
1633525200000,36392.99717814292
1633528800000,41626.5407303387
1633532400000,
1633536000000,52562.06433508537
1633539600000,36843.70034500275
1633543200000,27372.42465649706
1633546800000,47234.41798287604
1633550400000,33015.98925547168
1633554000000,34271.54634976346
1633557600000,39883.93482632161
1633561200000,33572.46804563571
1633564800000,7665.1347919832915
1633568400000,0.19154598703607917
1633572000000,37626.43399433138
1633575600000,42664.593837940374
1633579200000,40867.56135934265
1633582800000,21024.341557455376
1633586400000,
1633590000000,
1633593600000,45447.853020287585
1633597200000,41726.9412774191
1633600800000,40326.03274319516
1633604400000,39414.8232573427
1633608000000,36809.923430914445
1633611600000,
1633615200000,
1633618800000,47847.26629749639
1633622400000,34113.86191903148
1633626000000,43420.02205553121
1633629600000,45243.690349545795
1633633200000,40399.13356601779
1633636800000,36292.02501162309
1633640400000,37224.373654898955
1633644000000,57088.72805193966
1633647600000,41763.89321904843
1633651200000,30631.563830160303
1633654800000,
1633658400000,37412.04552333996
1633662000000,47157.153777397856
1633665600000,44954.52127109844
1633669200000,26583.419938486517
1633672800000,42701.2022065797
1633676400000,38539.15487365965
1633680000000,38233.17832507988
1633683600000,
1633687200000,54941.649946217694
1633690800000,47002.58803734556
1633694400000,38629.074655101445
1633698000000,49039.87078375212
1633701600000,70444.86731830984
1633705200000,
1633708800000,57003.070601887346

